Round,ScoringLogic,SelectionHeuristic,Efficiency,Rationale
9,import numpy as np\nmass_weight = np.exp(-0.5*((m123-173)/20)**2)\npt_weight = 1/(1+np.exp(-(pt-300)/50))\neta_weight = np.exp(-0.5*(eta/2.5)**2)\nr_weight = np.exp(-0.5*((r_ab-0.3)/0.1)**2)\ndr_weight = np.exp(-0.5*((dr_ab-0.4)/0.2)**2)\nfinal_scores = score_xgb * mass_weight * pt_weight * eta_weight * r_weight * dr_weight,"def select(candidates):\n    chosen = []\n    used = set()\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The scoring combines the machine‑learning output (``score_xgb``) with physics‑driven weight factors that encode our prior knowledge of a genuine hadronic top decay. A Gaussian term centred on the nominal top mass (173 GeV) rewards candidates with an invariant mass close to the truth. A sigmoid in ``pt`` favours sufficiently energetic tops while smoothly turning on around 300 GeV. The ``eta`` term penalises forward candidates, reflecting reduced detector resolution at high pseudorapidity. The ``r_ab`` and ``dr_ab`` terms capture the expected internal jet kinematics: a typical two‑jet mass ratio of ≈0.3 and a moderate angular separation of ≈0.4 between the leading jets. Multiplying all these factors preserves the ranking of the XGBoost classifier while biasing it toward physically plausible configurations.\n\nThe greedy selection heuristic ensures a globally consistent reconstruction: by iterating over candidates in descending score order and rejecting any that share jets with already‑accepted tops, we maximise the total summed score while enforcing a non‑overlapping jet assignment. This simple algorithm is fast, deterministic, and works well in the high‑multiplicity environment of LHC events where exhaustive combinatorial optimisation would be computationally prohibitive."
10,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/400)**0.3 * np.exp(-0.5*(dr_ab/0.4)**2) * (1 + 0.2*np.tanh(-np.abs(eta))) * (1/(1 + r_ab)),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4405,"The new scoring combines the XGBoost discriminant (score_xgb) with a set of analytically motivated modifiers:

* **Mass Gaussian** – `np.exp(-0.5*((m123-173)/20)**2)` forces the three‑jet invariant mass to be close to the top‑quark pole mass (173 GeV) with a 20 GeV tolerance, sharply suppressing off‑peak combinations.
* **pT scaling** – `(pt/400)**0.3` gives a modest preference to high‑pT candidates while keeping the dependence sub‑linear to avoid over‑favoring rare very‑hard tops.
* **ΔR penalty** – `np.exp(-0.5*(dr_ab/0.4)**2)` rewards configurations where the two sub‑jets (a,b) are close in η‑φ space, reflecting the expected collimation of decay products at moderate boosts.
* **η damping** – `(1 + 0.2*np.tanh(-np.abs(eta)))` slightly down‑weights forward candidates (large |η|) where detector performance degrades, using a smooth tanh to avoid a hard cut.
* **Radius term** – `(1/(1 + r_ab))` penalises large inter‑jet distances (large r_ab), encouraging compact top candidates.

Multiplying these physics‑based factors by the machine‑learning score yields a single scalar `final_scores` that respects both data‑driven discrimination and well‑understood kinematic expectations.

The greedy selection routine then iterates over candidates ordered by this composite score, keeping the highest‑scoring, non‑overlapping set of three‑jet groups. This ensures a unique assignment of jets to tops while preserving maximal overall quality.

Overall, the pipeline balances interpretability, robustness against combinatorial background, and the discriminating power of the trained model."
11,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*(pt/600)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.60)/0.20)**2) * np.exp(-0.5*((dr_ab-0.40)/0.10)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3791,"The scoring formula combines the XGBoost discriminant (score_xgb) with Gaussian‑shaped penalty terms for each kinematic observable.  
- m123 is centered on the top quark mass (173 GeV) with a 20 GeV width, rewarding candidates whose invariant mass falls near the true value.  
- pt is penalised for very low transverse momentum; a scale of 600 GeV yields a gently falling Gaussian that favours energetic tops.  
- eta uses the detector acceptance (~|η|<2.5) as a Gaussian width, so central jets give a higher weight.  
- r_ab (the energy‑ratio of the two light‑quark jets) is expected around 0.6 for a typical W decay; a 0.2 width captures the physical spread.  
- dr_ab (ΔR between the two light‑quark jets) peaks near 0.4 for moderately collimated W decays; a 0.1 width tightens the selection.  
All terms are multiplicative, ensuring that a strong XGBoost score can be degraded by a poor kinematic match, mirroring the physical intuition that a true hadronic top should satisfy both multivariate and baseline kinematic criteria.  
The greedy selection routine guarantees a set of non‑overlapping top candidates by always picking the highest‑scoring, jet‑disjoint candidate first, which is computationally cheap and works well in high‑multiplicity hadronic environments."
12,"import numpy as np
final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.1*pt/1000) * np.exp(-np.abs(eta)/2.5) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2) * np.exp(-0.5*((r_ab-0.8)/0.2)**2)","def select(candidates):
    """"""Greedy selector that returns a set of non‑overlapping top candidates.

    The list *candidates* contains dictionaries with at least the keys
    ``'jets'`` (a set of jet identifiers) and ``'score'`` (the numerical
    ranking).  The function sorts candidates by descending score and picks
    each one only if none of its jets have already been used.
    """"""
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4327,"The scoring formula combines several physics‑driven discriminants into a single number that can be efficiently vectorised with NumPy.  

* **Mass term** – A Gaussian centered at the nominal top mass (173 GeV) with a width of ~20 GeV rewards candidates whose invariant mass m123 is close to the true top mass while smoothly penalising outliers.  
* **pt term** – Higher‑pT top candidates are more likely to be well‑reconstructed; a linear scaling (1 + 0.1·pt/1000) modestly up‑weights them without overwhelming the mass term.  
* **eta term** – Jets at large pseudorapidity suffer from poorer calibration and acceptance; an exponential decay exp(-|η|/2.5) suppresses very forward candidates.  
* **dr_ab term** – The ΔR separation between the two light‑quark jets (a,b) from the W decay encodes the expected W‑boson opening angle.  A Gaussian around the typical value (~0.4) rewards the right angular topology.  
* **r_ab term** – The momentum‑balance ratio r_ab = pT_a / (pT_a + pT_b) peaks near 0.8 for correctly ordered quark jets.  A Gaussian factor captures this shape.  
* **score_xgb** – The output of a pre‑trained XGBoost classifier already encapsulates many high‑level correlations (b‑tagging, jet shapes, event‑level info).  Multiplying the handcrafted factors by score_xgb preserves the discriminative power of the ML model while allowing explicit physics‑based shaping.  

The greedy selection strategy ensures a physically sensible final set of hadronic tops: each jet can belong to at most one top candidate, which respects the exclusivity of jet assignments in a single event.  The algorithm is O(N log N) due to sorting and scales trivially to large candidate lists, making it suitable for both offline analyses and real‑time trigger‑level processing."
13,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.1*pt/500) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.5)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.1)**2),"def select(candidates):
    '''Greedy selection of non-overlapping top candidates.

    Args:
        candidates (list[dict]): Each dict must contain a 'jets' key with a set of jet indices
            and a 'score' key (or any key used for ranking). The list is assumed to be pre-computed
            with the 'final_scores' and other relevant quantities.
    Returns:
        list[dict]: Sub-list of candidates with no shared jets, ordered by descending score.
    '''
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x.get('final_score', x.get('score', 0)), reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3723,"The scoring formula combines the machine‑learned XGBoost probability (score_xgb) with physics‑driven Gaussian weightings that favor candidates near the expected top‑quark mass (173 GeV) and typical kinematic regimes. A mild p_T term rewards energetic tops, while η, r_ab (mass ratio of sub‑jets) and ΔR_{ab} capture shape and angular consistency of a genuine three‑jet top decay. Multiplying these factors preserves the ranking power of the original model while embedding domain knowledge, improving robustness against out‑of‑distribution backgrounds.

For candidate selection, a greedy algorithm is employed because the combinatorial space of overlapping triplets grows factorially with jet multiplicity. By ordering candidates by the composite final_score and iteratively accepting the highest‑scoring candidate that does not share any jet with already‑chosen ones, we obtain a set of mutually exclusive top reconstructions that maximizes the summed score under a simple, fast, and deterministic heuristic. This approach is well suited for online or large‑scale offline analyses where deterministic behavior and computational efficiency are critical."
14,final_scores = (score_xgb * np.exp(-0.5 * ((m123 - 173.0) / 20.0)**2) * (pt / 500.0) * np.exp(-0.5 * (eta / 2.5)**2) * np.exp(-0.5 * ((r_ab - 0.4) / 0.2)**2) * np.exp(-0.5 * ((dr_ab - 0.2) / 0.1)**2)),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3665,"The scoring formula combines the XGBoost discriminant (score_xgb) with physics‑driven Gaussian penalties that favour candidates close to the known top‑quark mass (m123≈173 GeV), high transverse momentum, central rapidity, and well‑separated subjets (r_ab, dr_ab). The mass term sharply down‑weights out‑of‑range masses, while the pt term linearly rewards energetic tops. The η term suppresses forward jets where detector resolution degrades. The r_ab and dr_ab terms ensure that the three jets form a compact, physically plausible top‑quark decay topology. Multiplying all factors yields a single scalar “final_score” that can be directly compared across candidates.

The greedy selection routine enforces a non‑overlapping set of tops by iteratively picking the highest‑scoring candidate and discarding any others that share jets. This is fast (O(N log N)) and works well when the true tops are produced sparsely, as in typical LHC hadronic‑top analyses. The simple set‑based overlap check guarantees that each jet contributes to at most one reconstructed top, preserving orthogonality of the final reconstruction.

Together, the score and selection provide a transparent, physics‑motivated pipeline that can be easily inspected, tuned, or replaced by more sophisticated combinatorial or machine‑learning approaches if required."
15,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*((pt-400)/150)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.8)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4366,"We combine the XGBoost classifier output with physics‑motivated Gaussian weightings that reward candidates whose invariant mass m123 is close to the top‑quark mass (173 GeV), have a transverse momentum in the typical boosted regime, are central (small |η|), and exhibit the expected substructure distances (r_ab and ΔR_ab). Multiplying these terms yields a single scalar “final_score” that reflects both machine‑learning discrimination and known kinematic features, allowing a straightforward ranking. The greedy non‑overlapping selection is computationally cheap, deterministic, and preserves the highest‑scoring candidates while enforcing jet‑usage exclusivity, which is essential for constructing a realistic hadronic top list in high‑pile‑up environments."
16,final_scores = score_xgb * np.exp(-0.5*((m123 - 173)/20)**2) * np.exp(-0.5*(pt/400)**2) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab - 1)/0.3)**2) * np.exp(-0.5*((dr_ab - 0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4230,"The scoring formula builds on the XGBoost probability (score_xgb) and adds Gaussian‑like penalties for deviations from the expected top‑quark kinematics. The invariant mass m123 is centered at the PDG top mass (173 GeV) with a width of ≈20 GeV, reflecting the resolution of jet combinations. The transverse momentum pt and pseudorapidity eta are penalised to favour well‑measured, central jets (pt/400 GeV and eta/2.5). The pairwise mass ratio r_ab and angular separation dr_ab encode the expected W‑boson substructure; their Gaussian terms (centered at r_ab≈1 and dr_ab≈0.4) reward candidates with kinematics consistent with a hadronic W decay. Multiplying all terms preserves the probabilistic interpretation while sharpening the discrimination.

The greedy selector guarantees a globally maximal set of non‑overlapping candidates by iterating in descending score order and discarding any candidate that shares a jet with an already chosen one. This simple heuristic is fast, deterministic, and effective for typical event topologies where a single top quark is reconstructed per event. More sophisticated methods (e.g., integer programming) can be added later if needed, but the greedy approach provides a solid baseline for the pipeline.

Overall, this pipeline balances physics‑driven feature tuning with computational simplicity, making it suitable for both offline analyses and real‑time trigger environments."
17,final_scores = (score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.2*np.tanh((pt-350)/150)) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.8)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.2)**2)),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4386,"The scoring formula builds on a baseline XGBoost classifier output and shapes it with analytically‑motivated Gaussian terms that encode the expected kinematic distributions of a true hadronic top: a narrow mass window around 173 GeV, central pseudorapidity, and typical subjet radius and angular separation. A tanh‑scaled p_T term modestly rewards high‑p_T candidates, which are more likely to originate from boosted tops. This combination preserves the discriminating power of the machine‑learning score while embedding physics priors that improve robustness against background fluctuations. The greedy selection routine iterates over candidates ordered by the composite score, accepting a candidate only if none of its three constituent jets have been used already. This simple non‑overlap heuristic is computationally cheap, scales linearly with the number of candidates, and yields a set of mutually exclusive top candidates that maximises the total score – a practical choice for large LHC datasets where full combinatorial optimization would be prohibitive."
18,"import numpy as np\n\n# Input feature arrays: m123, pt, eta, score_xgb, r_ab, dr_ab\nmass_term = np.exp(-0.5*((m123 - 173)/20)**2)\npt_term   = pt / 1000.0  # normalise pt (GeV) to O(1)\neta_term  = np.exp(-np.abs(eta)/2)\nr_term    = np.exp(-0.5*(r_ab/0.4)**2)\ndr_term   = np.exp(-0.5*(dr_ab/0.2)**2)\nfinal_scores = score_xgb * mass_term * pt_term * eta_term * r_term * dr_term","def select(candidates):\n    chosen = []\n    used = set()\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The scoring function combines the XGBoost classifier output with physics‑driven penalty and boost factors. A Gaussian mass term penalises candidates far from the nominal top mass (173 GeV) with a width of 20 GeV, preserving the excellent discriminating power of the ML score while respecting the known resonance. The transverse‑momentum term (pt/1000) rewards energetic top candidates, reflecting the fact that true hadronic tops tend to have high pt in LHC events. An exponential η‑suppression down‑weights forward jets where detector resolution is poorer. Small‑angle variables r_ab and dr_ab capture the internal topology of the three‑jet system; Gaussian terms centred at typical values (0.4 and 0.2) give maximal weight to configurations consistent with a boosted top decay. Multiplying these factors yields a single scalar ‘final_score’ that retains the ranking of the original ML output but is shaped by well‑understood kinematic expectations.\n\nThe greedy selection routine ensures a set of non‑overlapping top candidates by iteratively picking the highest‑scoring candidate and discarding any other candidate that shares a jet with the already‑chosen ones. This heuristic is fast, deterministic, and works well in high‑multiplicity environments where exhaustive combinatorial optimisation is computationally prohibitive. By using the ‘score’ key (filled with the final_score) the algorithm naturally prefers physically plausible, high‑quality candidates while guaranteeing each jet participates in at most one reconstructed top."
19,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (pt/200) * np.exp(-abs(eta)/2.5) * np.exp(-0.5*((r_ab-0.5)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.1)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3801,"The scoring formula combines the XGBoost classifier output (score_xgb) with physics‑inspired Gaussian penalties that favor candidates close to the expected top mass (173 GeV), high transverse momentum, central rapidity, and well‑shaped sub‑jet kinematics (r_ab around 0.5, dr_ab around 0.4). Normalising pt by 200 GeV keeps the term O(1). Each factor is bounded between 0 and 1, so the product preserves the ordering of the original classifier while penalising unlikely configurations. The greedy selection heuristic ensures the final set of top candidates contains non‑overlapping jet triplets, which is essential because each jet can belong to at most one hadronic top. By sorting on the composite “score” we retain the most signal‑like candidates first. This pipeline is simple, fast, and easily vectorised for large event samples."
20,"final_scores = score_xgb * np.exp(-0.5*((m123 - 173)/20)**2)
    * (1/(1 + np.exp(-(pt - 150)/30)))
    * np.exp(-0.5*(eta/2.5)**2)
    * np.exp(-0.5*(r_ab/0.4)**2)
    * np.exp(-0.5*(dr_ab/0.2)**2)","def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.0000,"The mass term is a Gaussian centred at the top‑quark mass (173 GeV) with a width of ≈20 GeV, rewarding candidates whose three‑jet invariant mass matches the expected value. The transverse‑momentum term uses a sigmoid that rises around 150 GeV, reflecting that genuine top jets tend to be energetic while suppressing soft combinatorial backgrounds. The pseudorapidity term is another Gaussian penalising large |η| values, which are less reliable due to detector acceptance. The r_ab and dr_ab terms encode the internal geometry of the three‑jet system: r_ab (the distance between the two light‑quark jets) is expected around ~0.4, and dr_ab (the ΔR between the b‑jet and the W‑candidate) around ~0.2; Gaussian penalties encourage candidates with physically plausible angular separations. All terms multiply the XGBoost classifier score (score_xgb) to keep the powerful learned discrimination while shaping the final ranking with physics‑motivated priors. The greedy selection function then picks the highest‑scoring, non‑overlapping candidates, guaranteeing each jet belongs to at most one top‑quark reconstruction, which is essential for downstream analyses."
